player
Patrick van Aanholt
Tammy Abraham
Che Adams
Tosin Adarabioyo
Adrián
Sergio Agüero
Ola Aina
Rayan Aït Nouri
Semi Ajayi
Nathan Aké
Marc Albrighton
Thiago Alcántara
Toby Alderweireld
Rúnar Alex Rúnarsson
Trent Alexander-Arnold
Ezgjan Alioski
Alisson
Allan
Dele Alli
Miguel Almirón
Marcos Alonso
Steven Alzate
Daniel Amartey
Ethan Ampadu
Joachim Andersen
Elliot Anderson
Felipe Anderson
Michail Antonio
Alphonse Areola
Stuart Armstrong
Kepa Arrizabalaga
Pierre-Emerick Aubameyang
Serge Aurier
Charlie Austin
Jordan Ayew
Luke Ayling
César Azpilicueta
Eric Bailly
Fabián Balbuena
George Baldock
Gareth Bale
Patrick Bamford
Phil Bardsley
Ross Barkley
Ross Barkley
Ashley Barnes
Harvey Barnes
Kyle Bartley
Chris Basham
Michy Batshuayi
Jan Bednarek
Donny van de Beek
Héctor Bellerín
Saïd Benrahma
Josh Benson
Christian Benteke
Gaetano Berardi
Jóhann Berg Guðmundsson
Sander Berge
Steven Bergwijn
Bernard
Bernardo
Ryan Bertrand
Yves Bissouma
Jayden Bogle
Willy Boly
Jarrod Bowen
Robbie Brady
Rhian Brewster
Nathan Broadhead
Josh Brownhill
Joe Bryan
Kean Bryan
Oliver Burke
Dan Burn
Jack Butland
David Button
Oskar Buur
Willy Caballero
Gary Cahill
Tom Cairney
Dominic Calvert-Lewin
João Cancelo
Ian Carlo Poveda
Andy Carroll
Scott Carson
Fabio Carvalho
Matty Cash
Kiko Casilla
Timothy Castagne
Jonny Castro
Ivan Cavaleiro
Edinson Cavani
Dani Ceballos
Calum Chambers
Ben Chilwell
Hamza Choudhury
Andreas Christensen
Carney Chukwuemeka
Ciaran Clark
Nathaniel Clyne
Conor Coady
Séamus Coleman
Aaron Connolly
Liam Cooper
Theo Corbeanu
Jack Cork
Hélder Costa
Vladimír Coufal
Aaron Cresswell
Patrick Cutrone
Stuart Dallas
Scott Dann
Karl Darlow
Ben Davies
Tom Davies
Keinan Davis
Leif Davis
Craig Dawson
Kevin De Bruyne
Liam Delap
Fabian Delph
Leander Dendoncker
Mbaye Diagne
Amad Diallo
Ibrahima Diallo
Grady Diangana
Raphael Dias Belloli
Rúben Dias
Eric Dier
Lucas Digne
Virgil van Dijk
Issa Diop
Moussa Djenepo
Matt Doherty
Gabriel Dos Santos
Abdoulaye Doucouré
Martin Dúbravka
Paul Dummett
Lewis Dunk
Jimmy Dunne
Ederson
Kyle Edwards
John Egan
Anthony Elanga
Ahmed Elmohamady
Mohamed Elneny
Jonny Evans
Eberechi Eze
Łukasz Fabiański
Fabinho
Bruno Fernandes
Federico Fernández
Fernandinho
Sam Field
Roberto Firmino
John Fleck
Phil Foden
Wesley Fofana
Pablo Fornals
Fraser Forster
Timothy Fosu-Mensah
Tyrese Francois
Ryan Fraser
Fred
Ryan Fredericks
Christian Fuchs
Darnell Furlong
Conor Gallagher
Eric García
Dwight Gayle
Jean-Philippe Gbamin
David de Gea
Anwar El Ghazi
Kieran Gibbs
Morgan Gibbs-White
Billy Gilmour
Olivier Giroud
Ben Godfrey
André Gomes
Joe Gomez
Anthony Gordon
Karlan Grant
Demarai Gray
Jack Grealish
Mason Greenwood
Pascal Groß
Kamil Grosicki
Vicente Guaita
İlkay Gündoğan
Antwoine Hackford
Sébastien Haller
Rekeem Harper
Jack Harrison
Kortney Hause
Kai Havertz
Isaac Hayden
Michael Hector
Ahmed Hegazi
Dean Henderson
Jordan Henderson
Jeff Hendrick
Pablo Hernández
Son Heung-min
Ki-Jana Hoever
Rob Holding
Mason Holgate
Conor Hourihane
Callum Hudson-Odoi
Niall Huggins
Pierre Højbjerg
Odion Ighalo
Kelechi Iheanacho
Danny Ings
Branislav Ivanović
Alex Iwobi
José Izquierdo
Phil Jagielka
Alireza Jahanbakhsh
Daniel James
Reece James
Alexandre Jankewitz
Daniel Jebbison
Gabriel Jesus
Raúl Jiménez
Joelinton
Ben Johnson
Sam Johnstone
Curtis Jones
Jorginho
Willian José
Diogo Jota
James Justin
Ozan Kabak
Aboubakar Kamara
Harry Kane
N'Golo Kanté
Moise Kean
Michael Keane
Neeskens Kebano
Naby Keïta
Caoimhín Kelleher
Martin Kelly
Jonjoe Kenny
Reda Khadra
Max Kilman
Joshua King
Mateusz Klich
Robin Koch
Sead Kolašinac
Terence Kongolo
Ezri Konsa
Cheikhou Kouyaté
Mateo Kovačić
Emil Krafth
Filip Krovinović
Alexandre Lacazette
Adam Lallana
Érik Lamela
Tariq Lamptey
Manuel Lanzini
Aymeric Laporte
Jamaal Lascelles
Maxime Le Marchand
Mario Lemina
Bernd Leno
Khanya Leshabela
Jamal Lewis
Victor Lindelöf
Jesse Lingard
Jake Livermore
Diego Llorente
Hugo Lloris
Giovani Lo Celso
Ruben Loftus-Cheek
Ruben Loftus-Cheek
Kevin Long
Shane Long
Matthew Longstaff
Sean Longstaff
Ademola Lookman
Max Lowe
Matthew Lowton
David Luiz
Douglas Luiz
John Lundstram
Alexis Mac Allister
James Maddison
Harry Maguire
Riyad Mahrez
Ainsley Maitland-Niles
Ainsley Maitland-Niles
Josh Maja
Sadio Mané
Javier Manquillo
Fernando Marçal
Solly March
Pablo Marí
Anthony Martial
Martinelli
Emiliano Martínez
Arthur Masuaku
Juan Mata
Jean-Philippe Mateta
Nemanja Matić
Joël Matip
Neal Maupay
James McArthur
Oliver McBurnie
Alex McCarthy
James McCarthy
John McGinn
David McGoldrick
Dwight McNeil
Scott McTominay
Ben Mee
Hannibal Mejbri
Benjamin Mendy
Edouard Mendy
Nampalys Mendy
Illan Meslier
Luka Milivojević
James Milner
Yerry Mina
Takumi Minamino
Takumi Minamino
Tyrone Mings
Tyrick Mitchell
Aleksandar Mitrović
Jakub Moder
Jayson Molumby
Wesley Moraes
Wes Morgan
Mason Mount
Lucas Moura
Lys Mousset
João Moutinho
Joel Mumbongo
Jacob Murphy
Shkodran Mustafi
Marvelous Nakamba
Iliman Ndiaye
Wilfred Ndidi
Tanguy Ndombele
Reiss Nelson
Pedro Neto
Rúben Neves
Eddie Nketiah
Niels Nkounkou
Dan Nlundulu
Mark Noble
Will Norris
Oliver Norwood
Jack O'Connell
Dara O'Shea
Michael Obafemi
Denis Odoi
Angelo Ogbonna
Robin Olsen
Josh Onomah
Divock Origi
Ben Osborn
Owen Otasowie
Alex Oxlade-Chamberlain
Emerson Palmieri
Thomas Partey
Rui Patrício
Bailey Peacock-Farrell
Lee Peltier
Nicolas Pépé
Matheus Pereira
Ricardo Pereira
Ayoze Pérez
Kalvin Phillips
Matt Phillips
Nathaniel Phillips
Jaden Philogene Bidace
Jordan Pickford
Erik Pieters
Daniel Podence
Paul Pogba
Nick Pope
Dennis Praet
Davy Pröpper
Christian Pulisic
Aaron Ramsdale
Jacob Ramsey
Kayne Ramsey
Darren Randolph
Marcus Rashford
Tim Ream
Nathan Redmond
Harrison Reed
Sergio Reguilón
Bobby Reid
Declan Rice
Lewis Richardson
Richarlison
Jaïro Riedewald
Matt Ritchie
Tyler Roberts
Andrew Robertson
Antonee Robinson
Callum Robinson
Jack Robinson
Hal Robson-Kanu
Marek Rodák
Joe Rodon
Rodri
Rodrigo
James Rodríguez
Jay Rodriguez
Oriol Romeu
John Ruddy
Antonio Rüdiger
Mathew Ryan
Mathew Ryan
Allan Saint-Maximin
Romain Saïss
Bukayo Saka
Mamadou Sakho
Mohamed Salah
Mohammed Salisu
Davinson Sánchez
Robert Sánchez
Morgan Sanson
Romaine Sawyers
Dane Scarlett
Fabian Schär
Jeffrey Schlupp
Kasper Schmeichel
Nélson Semedo
Femi Seriki
Jamie Shackleton
Xherdan Shaqiri
Billy Sharp
Luke Shaw
Jonjo Shelvey
Shola Shoretire
Gylfi Sigurðsson
Bernardo Silva
Fábio Silva
Thiago Silva
Moussa Sissoko
Islam Slimani
William Smallbone
Emile Smith-Rowe
Robert Snodgrass
Robert Snodgrass
Cédric Soares
Tomáš Souček
Çağlar Söyüncü
Zack Steffen
Dale Stephens
Jack Stephens
Raheem Sterling
Enda Stevens
John Stones
Pascal Struijk
Japhet Tanganga
Matt Targett
James Tarkowski
Percy Tau
Sidnei Tavares
Charlie Taylor
Neil Taylor
Allan Tchaptchet
Nathan Tella
Alex Telles
Kenny Tete
William Thomas Fish
Luke Thomas
Youri Tielemans
Kieran Tierney
James Tomkins
Fikayo Tomori
Ferrán Torres
Cenk Tosun
Andros Townsend
Conor Townsend
Adama Traoré
Bertrand Traoré
Trézéguet
Leandro Trossard
Kostas Tsimikas
Axel Tuanzebe
Cengiz Ünder
Yan Valery
Jamie Vardy
Joël Veltman
Jannik Vestergaard
Rúben Vinagre
Carlos Vinícius
João Virgínia
Vitinha
Jake Vokins
